
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL011851          UNNAMED          716615.53          55124.27          11586.42           68.34               0         
     AL021851          UNNAMED              0                 0              9375.58              0                 0         
     AL031851          UNNAMED              0                 0              9375.58              0                 0         
     AL041851          UNNAMED          8203813.93        170912.79          55699.22           301.8               0         
     AL051851          UNNAMED             0.0               0.0             54177.17            90.0               0         
     AL061851          UNNAMED          1630255.35        101890.96          32006.39           100.63              0         
     AL011852          UNNAMED          4979459.81        113169.54          36109.18           269.43              0         
     AL021852          UNNAMED          941264.37         134466.34          34426.89           34.32               0         
     AL031852          UNNAMED          2069467.98        108919.37          59576.6            117.15              0         
     AL041852          UNNAMED          3346834.08         95623.83          59576.6            218.87              0         
     AL051852          UNNAMED          4509412.25        187892.18          69916.6            140.59              0         
     AL011853          UNNAMED              0                 0              68578.5              0                 0         
     AL021853          UNNAMED              0                 0              68578.5              0                 0         
     AL031853          UNNAMED          9781731.5         208121.95          68696.64           299.2               0         
     AL041853          UNNAMED          2416371.8         219670.16          68696.64           64.37               0         
     AL051853          UNNAMED              0                 0              36451.27             0                 0         
     AL061853          UNNAMED          2095429.9          99782.38          43547.89           133.9               0         
     AL071853          UNNAMED              0                 0              21179.9              0                 0         
     AL081853          UNNAMED          742536.93          57118.23          21179.9            81.71               0         
     AL011854          UNNAMED          1083794.82        108379.48          27154.94           56.79               0         
     AL021854          UNNAMED              0                 0              27033.49             0                 0         
     AL031854          UNNAMED          4050661.15        168777.55          56961.6            147.25              0         
     AL041854          UNNAMED          437153.15          43715.31          56961.6            48.56               0         
     AL051854          UNNAMED          1482753.16        134795.74          37761.6            67.84               0         
     AL011855          UNNAMED              0                 0              37761.6              0                 0         
     AL021855          UNNAMED          1716230.55        343246.11          67104.0             30.0               0         
     AL031855          UNNAMED              0                 0              67104.0              0                 0         
     AL041855          UNNAMED          2133125.59        142208.37          67104.0            88.91               0         
     AL051855          UNNAMED          722315.87          72231.59          23027.75           57.54               0         
     AL011856          UNNAMED          1149040.92         88387.76          25854.46           76.15               0         
